english,phonetic,vietnamese
sand,/sænd/,'cát'
sandwich,/ˈsænwɪdʒ/,'bánh mì kẹp'
satellite,/ˈsætəlaɪt/,'vệ tinh'
satisfaction,/ˌsætɪsˈfækʃn/,'sự hài lòng'
satisfied,/ˈsætɪsfaɪd/,'hài lòng'
satisfy,/ˈsætɪsfaɪ/,'làm hài lòng'
saturday,/ˈsætədeɪ/,'thứ Bảy'
sauce,/sɔːs/,'nước sốt'
say,/seɪ/,'nói'
scare,/skeər/,'làm sợ hãi'
scared,/skeəd/,'sợ hãi'
scarf,/skɑːf/,'khăn quàng cổ'
scene,/siːn/,'cảnh'
school,/skuːl/,'trường học'
science,/ˈsaɪəns/,'khoa học'
scientific,/ˌsaɪənˈtɪfɪk/,'thuộc khoa học'
scientist,/ˈsaɪəntɪst/,'nhà khoa học'
scissors,/ˈsɪzəz/,'cái kéo'
score,/skɔːr/,'điểm số'
scream,/skriːm/,'hét'
screen,/skriːn/,'màn hình'
screw,/skruː/,'đinh vít'
sea,/siː/,'biển'
search,/sɜːtʃ/,'tìm kiếm'
season,/ˈsiːzn/,'mùa'
seat,/siːt/,'chỗ ngồi'
secret,/ˈsiːkrət/,'bí mật'
secretary,/ˈsekrətri/,'thư ký'
see,/siː/,'nhìn thấy'
seed,/siːd/,'hạt giống'
seek,/siːk/,'tìm kiếm'
seem,/siːm/,'dường như'
select,/sɪˈlekt/,'lựa chọn'
selection,/sɪˈlekʃn/,'sự lựa chọn'
self,/self/,'bản thân'
sell,/sel/,'bán'
senate,/ˈsenət/,'thượng viện'
senator,/ˈsenətər/,'thượng nghị sĩ'
send,/send/,'gửi'
sensible,/ˈsensəbl/,'hợp lý'
sensitive,/ˈsensətɪv/,'nhạy cảm'
september,/sepˈtembər/,'tháng Chín'
serious,/ˈsɪəriəs/,'nghiêm trọng'
servant,/ˈsɜːvənt/,'người hầu'
serve,/sɜːv/,'phục vụ'
service,/ˈsɜːvɪs/,'dịch vụ'
seven,/ˈsevn/,'bảy'
several,/ˈsevrəl/,'một vài'
severe,/sɪˈvɪər/,'nghiêm trọng'
sex,/seks/,'giới tính'
sexual,/ˈsekʃuəl/,'thuộc giới tính'
shade,/ʃeɪd/,'bóng râm'
shadow,/ˈʃædəʊ/,'bóng'
shall,/ʃæl/,'sẽ'
shame,/ʃeɪm/,'sự xấu hổ'
shape,/ʃeɪp/,'hình dạng'
shave,/ʃeɪv/,'cạo'
she,/ʃiː/,'cô ấy'
sheep,/ʃiːp/,'con cừu'
shell,/ʃel/,'vỏ'
shelter,/ˈʃeltər/,'nơi trú ẩn'
shine,/ʃaɪn/,'tỏa sáng'
shiny,/ˈʃaɪni/,'sáng bóng'
ship,/ʃɪp/,'tàu thủy'
shirt,/ʃɜːt/,'áo sơ mi'
shock,/ʃɒk/,'cú sốc'
shoe,/ʃuː/,'giày'
shoot,/ʃuːt/,'bắn'
shop,/ʃɒp/,'cửa hàng'
shopping,/ˈʃɒpɪŋ/,'mua sắm'
should,/ʃʊd/,'nên'
shoulder,/ˈʃəʊldər/,'vai'
shout,/ʃaʊt/,'hét'
shut,/ʃʌt/,'đóng'
shy,/ʃaɪ/,'nhút nhát'
sick,/sɪk/,'ốm'
sideways,/ˈsaɪdweɪz/,'ngang'
sigh,/saɪ/,'thở dài'
signal,/ˈsɪɡnəl/,'tín hiệu'
signature,/ˈsɪɡnətʃər/,'chữ ký'
silence,/ˈsaɪləns/,'sự im lặng'
silent,/ˈsaɪlənt/,'im lặng'
silk,/sɪlk/,'lụa'
silly,/ˈsɪli/,'ngớ ngẩn'
silver,/ˈsɪlvər/,'bạc'
similar,/ˈsɪmələr/,'tương tự'
simple,/ˈsɪmpl/,'đơn giản'
sincere,/sɪnˈsɪər/,'chân thành'
sing,/sɪŋ/,'hát'
singer,/ˈsɪŋər/,'ca sĩ'
sir,/sɜːr/,'thưa ông'
sister,/ˈsɪstər/,'chị/em gái'
sit,/sɪt/,'ngồi'
site,/saɪt/,'địa điểm'
situation,/ˌsɪtʃuˈeɪʃn/,'tình hình'
six,/sɪks/,'sáu'
size,/saɪz/,'kích thước'
ski,/skiː/,'trượt tuyết'
skill,/skɪl/,'kỹ năng'
skin,/skɪn/,'da'
skirt,/skɜːt/,'váy'
sky,/skaɪ/,'bầu trời'
sleep,/sliːp/,'ngủ'
sleeve,/sliːv/,'tay áo'
slip,/slɪp/,'trượt chân'
slope,/sləʊp/,'dốc'
slow,/sləʊ/,'chậm'
small,/smɔːl/,'nhỏ'
smart,/smɑːt/,'thông minh'
smash,/smæʃ/,'đập vỡ'
smile,/smaɪl/,'cười'
snake,/sneɪk/,'rắn'
snow,/snəʊ/,'tuyết'
soap,/səʊp/,'xà phòng'
social,/ˈsəʊʃl/,'xã hội'
society,/səˈsaɪəti/,'xã hội'
sock,/sɒk/,'tất'
soft,/sɒft/,'mềm'
software,/ˈsɒftweər/,'phần mềm'
soil,/sɔɪl/,'đất'
soldier,/ˈsəʊldʒər/,'người lính'
solve,/sɒlv/,'giải quyết'
some,/sʌm/,'một vài'
somebody,/ˈsʌmbədi/,'ai đó'
somehow,/ˈsʌmhaʊ/,'bằng cách nào đó'
someone,/ˈsʌmwʌn/,'ai đó'
something,/ˈsʌmθɪŋ/,'một cái gì đó'
sometimes,/ˈsʌmtaɪmz/,'thỉnh thoảng'
somewhere,/ˈsʌmweər/,'ở đâu đó'
son,/sʌn/,'con trai'
song,/sɒŋ/,'bài hát'
soon,/suːn/,'sớm'
sorry,/ˈsɒri/,'xin lỗi'
soul,/səʊl/,'linh hồn'
soup,/suːp/,'súp'
sour,/ˈsaʊər/,'chua'
source,/sɔːs/,'nguồn'
south,/saʊθ/,'phía nam'
southern,/ˈsʌðən/,'thuộc phía nam'
space,/speɪs/,'không gian'
speak,/spiːk/,'nói'
special,/ˈspeʃl/,'đặc biệt'
specialist,/ˈspeʃəlɪst/,'chuyên gia'
specific,/spəˈsɪfɪk/,'cụ thể'
speech,/spiːtʃ/,'bài phát biểu'
speed,/spiːd/,'tốc độ'
spice,/spaɪs/,'gia vị'
spicy,/ˈspaɪsi/,'cay'
spider,/ˈspaɪdər/,'con nhện'
spin,/spɪn/,'quay'
spiritual,/ˈspɪrɪtʃuəl/,'thuộc tinh thần'
spite,/spaɪt/,'sự thù hận'
spoken,/ˈspəʊkən/,'được nói'
spoon,/spuːn/,'cái thìa'
sport,/spɔːt/,'thể thao'
stair,/steər/,'bậc thang'
stand,/stænd/,'đứng'
standard,/ˈstændəd/,'tiêu chuẩn'
star,/stɑːr/,'ngôi sao'
stare,/steər/,'nhìn chằm chằm'
start,/stɑːt/,'bắt đầu'
station,/ˈsteɪʃn/,'nhà ga'
statistic,/stəˈtɪstɪk/,'số liệu thống kê'
statue,/ˈstætjuː/,'tượng'
stay,/steɪ/,'ở lại'
steal,/stiːl/,'ăn cắp'
steam,/stiːm/,'hơi nước'
steel,/stiːl/,'thép'
steep,/stiːp/,'dốc'
steer,/stɪər/,'lái'
step,/step/,'bước'
stiff,/stɪf/,'cứng'
stir,/stɜːr/,'khuấy'
stomach,/ˈstʌmək/,'dạ dày'
stone,/stəʊn/,'đá'
stop,/stɒp/,'dừng lại'
storm,/stɔːm/,'bão'
story,/ˈstɔːri/,'câu chuyện'
stove,/stəʊv/,'bếp lò'
straight,/streɪt/,'thẳng'
strange,/streɪndʒ/,'lạ'
stranger,/ˈstreɪndʒər/,'người lạ'
stream,/striːm/,'dòng suối'
street,/striːt/,'đường phố'
strength,/streŋθ/,'sức mạnh'
strict,/strɪkt/,'nghiêm khắc'
string,/strɪŋ/,'dây'
stripe,/straɪp/,'sọc'
strong,/strɒŋ/,'mạnh'
structure,/ˈstrʌktʃər/,'cấu trúc'
struggle,/ˈstrʌɡl/,'đấu tranh'
student,/ˈstjuːdnt/,'sinh viên'
studio,/ˈstjuːdiəʊ/,'phòng thu'
study,/ˈstʌdi/,'học'
stuff,/stʌf/,'đồ đạc'
stupid,/ˈstjuːpɪd/,'ngu ngốc'
style,/staɪl/,'phong cách'
substance,/ˈsʌbstəns/,'chất'
substitute,/ˈsʌbstɪtjuːt/,'thay thế'
succeed,/səkˈsiːd/,'thành công'
success,/səkˈses/,'sự thành công'
successful,/səkˈsesfl/,'thành công'
such,/sʌtʃ/,'như vậy'
sudden,/ˈsʌdn/,'đột ngột'
suffer,/ˈsʌfər/,'chịu đựng'
sufficient,/səˈfɪʃnt/,'đủ'
sugar,/ˈʃʊɡər/,'đường'
suggestion,/səˈdʒestʃən/,'sự gợi ý'
suitable,/ˈsuːtəbl/,'phù hợp'
sum,/sʌm/,'tổng'
summarize,/ˈsʌməraɪz/,'tóm tắt'
summary,/ˈsʌməri/,'bản tóm tắt'
summer,/ˈsʌmər/,'mùa hè'
sun,/sʌn/,'mặt trời'
sunday,/ˈsʌndeɪ/,'Chủ Nhật'
supermarket,/ˈsuːpəmɑːkɪt/,'siêu thị'
support,/səˈpɔːt/,'hỗ trợ'
supporter,/səˈpɔːtər/,'người ủng hộ'
suppose,/səˈpəʊz/,'cho là'
sure,/ʃʊər/,'chắc chắn'
surface,/ˈsɜːfɪs/,'bề mặt'
surname,/ˈsɜːneɪm/,'họ'
surprise,/səˈpraɪz/,'ngạc nhiên'
surprised,/səˈpraɪzd/,'ngạc nhiên'
surprising,/səˈpraɪzɪŋ/,'gây ngạc nhiên'
surround,/səˈraʊnd/,'bao quanh'
survey,/ˈsɜːveɪ/,'khảo sát'
survive,/səˈvaɪv/,'sống sót'
suspicious,/səˈspɪʃəs/,'đáng ngờ'
swallow,/ˈswɒləʊ/,'nuốt'
swear,/sweər/,'thề'
sweat,/swet/,'mồ hôi'
sweater,/ˈswetər/,'áo len'
sweep,/swiːp/,'quét'
sweet,/swiːt/,'ngọt'
swim,/swɪm/,'bơi'
swimming,/ˈswɪmɪŋ/,'việc bơi lội'
symbol,/ˈsɪmbl/,'biểu tượng'
sympathy,/ˈsɪmpəθi/,'sự thông cảm'
symptom,/ˈsɪmptəm/,'triệu chứng'
system,/ˈsɪstəm/,'hệ thống'
tail,/teɪl/,'đuôi'
tale,/teɪl/,'truyện cổ tích'
talent,/ˈtælənt/,'tài năng'
talk,/tɔːk/,'nói chuyện'
tall,/tɔːl/,'cao'
target,/ˈtɑːɡɪt/,'mục tiêu'
task,/tɑːsk/,'nhiệm vụ'
tax,/tæks/,'thuế'
taxi,/ˈtæksi/,'xe taxi'
tea,/tiː/,'trà'
teach,/tiːtʃ/,'dạy'
teacher,/ˈtiːtʃər/,'giáo viên'
teaching,/ˈtiːtʃɪŋ/,'việc giảng dạy'
team,/tiːm/,'đội'
technique,/tekˈniːk/,'kỹ thuật'
technology,/tekˈnɒlədʒi/,'công nghệ'
telephone,/ˈtelɪfəʊn/,'điện thoại'
television,/ˈtelɪvɪʒn/,'truyền hình'
temperature,/ˈtemprətʃər/,'nhiệt độ'
temporary,/ˈtemprəri/,'tạm thời'
ten,/ten/,'mười'
tend,/tend/,'có xu hướng'
tendency,/ˈtendənsi/,'xu hướng'
tennis,/ˈtenɪs/,'quần vợt'
tension,/ˈtenʃn/,'sự căng thẳng'
tent,/tent/,'lều'
terrible,/ˈterəbl/,'khủng khiếp'
test,/test/,'bài kiểm tra'
text,/tekst/,'văn bản'
than,/ðæn/,'hơn'
thank,/θæŋk/,'cảm ơn'
the,/ðə/,'mão từ xác định'
theatre,/ˈθɪətər/,'nhà hát'
their,/ðeər/,'của họ'
theirs,/ðeəz/,'của họ'
them,/ðem/,'họ'
theme,/θiːm/,'chủ đề'
themselves,/ðəmˈselvz/,'chính họ'
then,/ðen/,'sau đó'
theory,/ˈθɪəri/,'lý thuyết'
there,/ðeər/,'ở đó'
therefore,/ˈðeəfɔːr/,'do đó'
they,/ðeɪ/,'họ'
thick,/θɪk/,'dày'
thief,/θiːf/,'kẻ trộm'
think,/θɪŋk/,'nghĩ'
third,/θɜːd/,'thứ ba'
thirsty,/ˈθɜːsti/,'khát'
this,/ðɪs/,'này'
thorough,/ˈθʌrə/,'kỹ lưỡng'
though,/ðəʊ/,'mặc dù'
thought,/θɔːt/,'suy nghĩ'
thousand,/ˈθaʊznd/,'một nghìn'
threat,/θret/,'mối đe dọa'
threaten,/ˈθretn/,'đe dọa'
three,/θriː/,'ba'
throat,/θrəʊt/,'cổ họng'
through,/θruː/,'xuyên qua'
throughout,/θruːˈaʊt/,'khắp'
throw,/θrəʊ/,'ném'
thumb,/θʌm/,'ngón tay cái'
thursday,/ˈθɜːzdeɪ/,'thứ Năm'
thus,/ðʌs/,'do đó'
ticket,/ˈtɪkɪt/,'vé'
tidy,/ˈtaɪdi/,'gọn gàng'
tight,/taɪt/,'chặt'
till,/tɪl/,'cho đến khi'
timetable,/ˈtaɪmteɪbl/,'thời khóa biểu'
tiny,/ˈtaɪni/,'nhỏ xíu'
tired,/ˈtaɪəd/,'mệt'
to,/tuː/,'đến'
today,/təˈdeɪ/,'hôm nay'
toe,/təʊ/,'ngón chân'
together,/təˈɡeðər/,'cùng nhau'
toilet,/ˈtɔɪlət/,'nhà vệ sinh'
tomato,/təˈmɑːtəʊ/,'cà chua'
tomorrow,/təˈmɒrəʊ/,'ngày mai'
ton,/tʌn/,'tấn'
tongue,/tʌŋ/,'lưỡi'
tonight,/təˈnaɪt/,'tối nay'
tool,/tuːl/,'công cụ'
tooth,/tuːθ/,'răng'
topic,/ˈtɒpɪk/,'chủ đề'
total,/ˈtəʊtl/,'tổng cộng'
touch,/tʌtʃ/,'chạm'
tour,/tʊər/,'chuyến du lịch'
tourist,/ˈtʊərɪst/,'khách du lịch'
towards,/təˈwɔːdz/,'về phía'
towel,/ˈtaʊəl/,'khăn tắm'
tower,/ˈtaʊər/,'tháp'
town,/taʊn/,'thị trấn'
toy,/tɔɪ/,'đồ chơi'
trade,/treɪd/,'thương mại'
tradition,/trəˈdɪʃn/,'truyền thống'
traditional,/trəˈdɪʃənl/,'truyền thống'
traffic,/ˈtræfɪk/,'giao thông'
training,/ˈtreɪnɪŋ/,'sự huấn luyện'
transfer,/trænsˈfɜːr/,'chuyển'
transform,/trænsˈfɔːm/,'biến đổi'
translate,/trænsˈleɪt/,'dịch'
translation,/trænsˈleɪʃn/,'bản dịch'
transport,/ˈtrænspɔːt/,'vận chuyển'
trap,/træp/,'cái bẫy'
travel,/ˈtrævl/,'du lịch'
treatment,/ˈtriːtmənt/,'sự điều trị'
tree,/triː/,'cây'
trend,/trend/,'xu hướng'
triangle,/ˈtraɪæŋɡl/,'hình tam giác'
trip,/trɪp/,'chuyến đi'
troop,/truːp/,'đoàn quân'
tropical,/ˈtrɒpɪkl/,'nhiệt đới'
trouble,/ˈtrʌbl/,'rắc rối'
trousers,/ˈtraʊzəz/,'quần dài'
truck,/trʌk/,'xe tải'
truly,/ˈtruːli/,'thực sự'
trust,/trʌst/,'tin tưởng'
truth,/truːθ/,'sự thật'
tube,/tjuːb/,'ống'
tuesday,/ˈtjuːzdeɪ/,'thứ Ba'
tune,/tjuːn/,'giai điệu'
tunnel,/ˈtʌnl/,'đường hầm'
tv,/ˌtiː ˈviː/,'ti vi'
twice,/twaɪs/,'hai lần'
twin,/twɪn/,'sinh đôi'
two,/tuː/,'hai'
typical,/ˈtɪpɪkl/,'tiêu biểu'
tyre,/ˈtaɪər/,'lốp xe'
ugly,/ˈʌɡli/,'xấu xí'
umbrella,/ʌmˈbrelə/,'cái ô'
unable,/ʌnˈeɪbl/,'không thể'
unacceptable,/ˌʌnəkˈseptəbl/,'không thể chấp nhận'
uncertain,/ʌnˈsɜːtn/,'không chắc chắn'
uncomfortable,/ʌnˈkʌmfətəbl/,'không thoải mái'
unconscious,/ʌnˈkɒnʃəs/,'bất tỉnh'
under,/ˈʌndər/,'dưới'
understand,/ˌʌndəˈstænd/,'hiểu'
understanding,/ˌʌndəˈstændɪŋ/,'sự hiểu biết'
underwear,/ˈʌndəweər/,'đồ lót'
unemployed,/ˌʌnɪmˈplɔɪd/,'thất nghiệp'
unemployment,/ˌʌnɪmˈplɔɪmənt/,'nạn thất nghiệp'
unexpected,/ˌʌnɪkˈspektɪd/,'bất ngờ'
unfair,/ˌʌnˈfeər/,'không công bằng'
unfortunate,/ʌnˈfɔːtʃənət/,'không may'
unhappy,/ʌnˈhæpi/,'không vui'
uniform,/ˈjuːnɪfɔːm/,'đồng phục'
unimportant,/ˌʌnɪmˈpɔːtnt/,'không quan trọng'
unique,/juˈniːk/,'độc đáo'
unit,/ˈjuːnɪt/,'đơn vị'
unite,/juˈnaɪt/,'đoàn kết'
universe,/ˈjuːnɪvɜːs/,'vũ trụ'
university,/ˌjuːnɪˈvɜːsəti/,'trường đại học'
unknown,/ʌnˈnəʊn/,'không xác định'
unless,/ənˈles/,'trừ khi'
unlike,/ˌʌnˈlaɪk/,'không giống'
unlikely,/ʌnˈlaɪkli/,'không có khả năng'
unload,/ˌʌnˈləʊd/,'dỡ hàng'
unlucky,/ʌnˈlʌki/,'không may'
unnecessary,/ʌnˈnesəsəri/,'không cần thiết'
unpleasant,/ʌnˈpleznt/,'khó chịu'
unreasonable,/ʌnˈriːznəbl/,'vô lý'
unsteady,/ʌnˈstedi/,'không vững'
unsuccessful,/ˌʌnsəkˈsesfl/,'không thành công'
untidy,/ʌnˈtaɪdi/,'không gọn gàng'
until,/ənˈtɪl/,'cho đến khi'
unusual,/ʌnˈjuːʒuəl/,'bất thường'
unwilling,/ʌnˈwɪlɪŋ/,'không sẵn lòng'
up,/ʌp/,'lên'
upon,/əˈpɒn/,'trên'
upper,/ˈʌpər/,'ở trên'
upstairs,/ˌʌpˈsteəz/,'tầng trên'
upward,/ˈʌpwəd/,'hướng lên'
urban,/ˈɜːbən/,'đô thị'
urge,/ɜːdʒ/,'thúc giục'
us,/ʌs/,'chúng tôi'
use,/juːz/,'sử dụng'
used to,/ˈjuːst tuː/,'đã từng'
useful,/ˈjuːsfl/,'hữu ích'
user,/ˈjuːzər/,'người dùng'
usual,/ˈjuːʒuəl/,'thông thường'
usually,/ˈjuːʒuəli/,'thường xuyên'
vacation,/vəˈkeɪʃn/,'kỳ nghỉ'
valid,/ˈvælɪd/,'hợp lệ'
valley,/ˈvæli/,'thung lũng'
valuable,/ˈvæljuəbl/,'có giá trị'
value,/ˈvæljuː/,'giá trị'
van,/væn/,'xe tải nhỏ'
variation,/ˌveəriˈeɪʃn/,'sự biến đổi'
variety,/vəˈraɪəti/,'sự đa dạng'
various,/ˈveəriəs/,'khác nhau'
vary,/ˈveəri/,'thay đổi'
vast,/vɑːst/,'rộng lớn'
vegetable,/ˈvedʒtəbl/,'rau'
vehicle,/ˈviːəkl/,'phương tiện'
version,/ˈvɜːʃn/,'phiên bản'
vertical,/ˈvɜːtɪkl/,'thẳng đứng'
very,/ˈveri/,'rất'
via,/ˈvaɪə/,'qua'
victim,/ˈvɪktɪm/,'nạn nhân'
victory,/ˈvɪktəri/,'chiến thắng'
video,/ˈvɪdiəʊ/,'video'
village,/ˈvɪlɪdʒ/,'làng'
violence,/ˈvaɪələns/,'bạo lực'
violent,/ˈvaɪələnt/,'bạo lực'
virtual,/ˈvɜːtʃuəl/,'ảo'
virus,/ˈvaɪrəs/,'vi-rút'
vision,/ˈvɪʒn/,'tầm nhìn'
visit,/ˈvɪzɪt/,'thăm'
visitor,/ˈvɪzɪtər/,'khách'
vital,/ˈvaɪtl/,'quan trọng'
vitamin,/ˈvɪtəmɪn/,'vitamin'
voice,/vɔɪs/,'giọng nói'
vote,/vəʊt/,'bầu cử'
wage,/weɪdʒ/,'lương (theo giờ/tuần)'
waist,/weɪst/,'eo'
wait,/weɪt/,'đợi'
waiter,/ˈweɪtər/,'bồi bàn nam'
waitress,/ˈweɪtrəs/,'bồi bàn nữ'
wake,/weɪk/,'thức dậy'
walk,/wɔːk/,'đi bộ'
wall,/wɔːl/,'tường'
wallet,/ˈwɒlɪt/,'ví'
wander,/ˈwɒndər/,'đi lang thang'
want,/wɒnt/,'muốn'
war,/wɔːr/,'chiến tranh'
warm,/wɔːm/,'ấm áp'
warn,/wɔːn/,'cảnh báo'
warning,/ˈwɔːnɪŋ/,'lời cảnh báo'
wash,/wɒʃ/,'rửa'
water,/ˈwɔːtər/,'nước'
we,/wiː/,'chúng tôi'
weak,/wiːk/,'yếu'
weakness,/ˈwiːknəs/,'điểm yếu'
wealth,/welθ/,'sự giàu có'
weapon,/ˈwepən/,'vũ khí'
wear,/weər/,'mặc'
weather,/ˈweðər/,'thời tiết'
website,/ˈwebsaɪt/,'trang web'
wedding,/ˈwedɪŋ/,'đám cưới'
wednesday,/ˈwenzdeɪ/,'thứ Tư'
week,/wiːk/,'tuần'
weekend,/ˌwiːkˈend/,'cuối tuần'
weigh,/weɪ/,'cân nặng'
weight,/weɪt/,'cân nặng'
welcome,/ˈwelkəm/,'chào mừng'
west,/west/,'phía tây'
western,/ˈwestən/,'thuộc phía tây'
wet,/wet/,'ướt'
what,/wɒt/,'cái gì'
whatever,/wɒtˈevər/,'bất cứ điều gì'
wheel,/wiːl/,'bánh xe'
when,/wen/,'khi nào'
whenever,/wenˈevər/,'bất cứ khi nào'
where,/weər/,'ở đâu'
whereas,/weərˈæz/,'trong khi'
wherever,/weərˈevər/,'bất cứ đâu'
whether,/ˈweðər/,'liệu'
which,/wɪtʃ/,'cái nào'
while,/waɪl/,'trong khi'
whisper,/ˈwɪspər/,'thì thầm'
white,/waɪt/,'màu trắng'
who,/huː/,'ai'
whoever,/huːˈevər/,'bất cứ ai'
whole,/həʊl/,'toàn bộ'
whom,/huːm/,'ai (tân ngữ)'
whose,/huːz/,'của ai'
why,/waɪ/,'tại sao'
wide,/waɪd/,'rộng'
widely,/ˈwaɪdli/,'rộng rãi'
wife,/waɪf/,'vợ'
wild,/waɪld/,'hoang dã'
willing,/ˈwɪlɪŋ/,'sẵn lòng'
win,/wɪn/,'thắng'
wind,/wɪnd/,'gió'
window,/ˈwɪndəʊ/,'cửa sổ'
wine,/waɪn/,'rượu vang'
wing,/wɪŋ/,'cánh'
winner,/ˈwɪnər/,'người chiến thắng'
winter,/ˈwɪntər/,'mùa đông'
wire,/ˈwaɪər/,'dây'
wise,/waɪz/,'khôn ngoan'
wish,/wɪʃ/,'ước'
with,/wɪð/,'với'
withdraw,/wɪðˈdrɔː/,'rút'
within,/wɪˈðɪn/,'bên trong'
without,/wɪˈðaʊt/,'không có'
witness,/ˈwɪtnəs/,'nhân chứng'
woman,/ˈwʊmən/,'phụ nữ'
wonderful,/ˈwʌndəfl/,'tuyệt vời'
wood,/wʊd/,'gỗ'
wooden,/ˈwʊdn/,'bằng gỗ'
wool,/wʊl/,'len'
word,/wɜːd/,'từ'
worker,/ˈwɜːkər/,'công nhân'
working,/ˈwɜːkɪŋ/,'đang làm việc'
world,/wɜːld/,'thế giới'
worried,/ˈwʌrid/,'lo lắng'
worry,/ˈwʌri/,'lo lắng'
worse,/wɜːs/,'tệ hơn'
worst,/wɜːst/,'tệ nhất'
worth,/wɜːθ/,'đáng giá'
would,/wʊd/,'sẽ (trong quá khứ)'
wound,/wuːnd/,'vết thương'
write,/raɪt/,'viết'
writer,/ˈraɪtər/,'nhà văn'
writing,/ˈraɪtɪŋ/,'chữ viết'
written,/ˈrɪtn/,'được viết'
wrong,/rɒŋ/,'sai'
yeah,/jeə/,'vâng'
year,/jɪər/,'năm'
yellow,/ˈjeləʊ/,'màu vàng'
yes,/jes/,'có'
yesterday,/ˈjestədeɪ/,'hôm qua'
yet,/jet/,'chưa'
you,/juː/,'bạn'
young,/jʌŋ/,'trẻ'
your,/jɔːr/,'của bạn'
yours,/jɔːz/,'của bạn'
yourself,/jɔːˈself/,'chính bạn'
youth,/juːθ/,'tuổi trẻ'
zero,/ˈzɪərəʊ/,'số không'
zone,/zəʊn/,'khu vực'
abide by,/əˈbaɪd baɪ/,"tuân theo, tôn trọng"
absent,/ˈæbsənt/,"vắng mặt, thiếu"
accommodate,/əˈkɑːmədeɪt/,"đáp ứng, cung cấp chỗ ở"
accomplish,/əˈkɑːmplɪʃ/,"hoàn thành, đạt được"
adhere to,/ədˈhɪr tuː/,"tuân thủ, dính chặt vào"
administer,/ədˈmɪnɪstər/,"quản lý, trông coi"
affordable,/əˈfɔːrdəbl/,giá cả phải chăng
allocate,/ˈæləkeɪt/,phân bổ
ambitious,/æmˈbɪʃəs/,tham vọng
appraisal,/əˈpreɪzl/,"sự đánh giá, thẩm định"
assessment,/əˈsesmənt/,sự đánh giá
assumption,/əˈsʌmpʃən/,giả định
attain,/əˈteɪn/,đạt được
auditor,/ˈɔːdɪtər/,kiểm toán viên
availability,/əˌveɪləˈbɪləti/,sự sẵn có
badge,/bædʒ/,"huy hiệu, thẻ"
board of directors,/bɔːrd əv dɪˈrektərz/,ban giám đốc
boost,/buːst/,"thúc đẩy, tăng cường"
capacity,/kəˈpæsɪti/,"sức chứa, năng lực"
clerical,/ˈklerɪkl/,"văn thư, liên quan đến văn phòng"
clientele,/ˌklaɪənˈtel/,tập khách hàng
cohesion,/koʊˈhiːʒn/,sự gắn kết
commence,/kəˈmens/,bắt đầu
commission,/kəˈmɪʃn/,"tiền hoa hồng, ủy ban"
compensation,/ˌkɑːmpenˈseɪʃn/,"sự bồi thường, lương bổng"
competent,/ˈkɑːmpɪtənt/,có năng lực
comply,/kəmˈplaɪ/,tuân thủ
concession,/kənˈseʃn/,sự nhượng bộ
confidential,/ˌkɑːnfɪˈdenʃl/,bí mật
consecutive,/kənˈsekjutɪv/,liên tiếp
consensus,/kənˈsensəs/,sự đồng thuận
consultant,/kənˈsʌltənt/,cố vấn
contractor,/ˈkɑːntræktər/,nhà thầu
coordinate,/koʊˈɔːrdɪneɪt/,phối hợp
corporate,/ˈkɔːrpərət/,thuộc về công ty
credibility,/ˌkredəˈbɪləti/,uy tín
dedicate,/ˈdedɪkeɪt/,cống hiến
defect,/ˈdiːfekt/,"lỗi, khuyết điểm"
defer,/dɪˈfɜːr/,hoãn lại
delegate,/ˈdelɪɡət/,"ủy quyền, đại biểu"
demonstrate,/ˈdemənstreɪt/,"chứng minh, thể hiện"
designate,/ˈdezɪɡneɪt/,chỉ định
detrimental,/ˌdetrɪˈmentl/,có hại
disclose,/dɪsˈkloʊz/,tiết lộ
discrepancy,/dɪsˈkrepənsi/,"sự khác biệt, mâu thuẫn"
dismiss,/dɪsˈmɪs/,"sa thải, bác bỏ"
disseminate,/dɪˈsemɪneɪt/,"gieo rắc, phổ biến"
downsize,/ˈdaʊnsaɪz/,cắt giảm nhân sự
drawback,/ˈdrɔːbæk/,mặt hạn chế
duplication,/ˌduːplɪˈkeɪʃn/,sự sao chép
eligible,/ˈelɪdʒəbl/,đủ điều kiện
endorse,/ɪnˈdɔːrs/,"ủng hộ, xác nhận"
engage,/ɪnˈɡeɪdʒ/,"tham gia, thuê"
enrollment,/ɪnˈroʊlmənt/,"sự ghi danh, đăng ký"
entrepreneur,/ˌɑːntrəprəˈnɜːr/,doanh nhân
equity,/ˈekwɪti/,"vốn chủ sở hữu, công bằng"
evaluate,/ɪˈvæljueɪt/,đánh giá
exceed,/ɪkˈsiːd/,vượt quá
expedite,/ˈekspədaɪt/,"xúc tiến, đẩy nhanh"
expertise,/ˌekspɜːrˈtiːz/,chuyên môn
feasible,/ˈfiːzəbl/,khả thi
firm,/fɜːrm/,"công ty, vững chắc"
fluent,/ˈfluːənt/,trôi chảy
forecast,/ˈfɔːrkæst/,dự báo
frustrate,/ˈfrʌstreɪt/,gây bực bội
implement,/ˈɪmplɪment/,"thi hành, thực hiện"
incentive,/ɪnˈsentɪv/,"khuyến khích, động lực"
incur,/ɪnˈkɜːr/,"gánh chịu (chi phí, tổn thất)"
indefinitely,/ɪnˈdefɪnətli/,vô thời hạn
